epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,3666.45,1.04086,1.20151,1.20045,0.47883,0.5133,0.47267,0.3167,1.31062,2.13352,1.17186,9.14405e-06,9.14405e-06,9.14405e-06
40,3760.07,1.01271,1.11772,1.18683,0.59659,0.43953,0.46597,0.31222,1.29333,2.11198,1.17524,9.09984e-06,9.09984e-06,9.09984e-06
41,3853.68,0.98071,1.08445,1.17285,0.52052,0.49152,0.4755,0.31433,1.31151,2.08653,1.183,9.05463e-06,9.05463e-06,9.05463e-06
42,3947.36,1.00369,1.11555,1.17906,0.59418,0.44525,0.46512,0.30738,1.30051,2.11858,1.17743,9.00844e-06,9.00844e-06,9.00844e-06
43,4041.15,0.95896,1.04649,1.15065,0.51376,0.51662,0.47643,0.31383,1.30076,2.07314,1.17376,8.96127e-06,8.96127e-06,8.96127e-06
44,4134.81,0.97755,1.08333,1.17738,0.46806,0.53284,0.46506,0.30139,1.34657,2.14574,1.19376,8.91313e-06,8.91313e-06,8.91313e-06
45,4228.42,0.98602,1.07887,1.15326,0.53447,0.48181,0.47739,0.32101,1.30623,2.09576,1.18134,8.86404e-06,8.86404e-06,8.86404e-06
46,4322.37,0.97632,1.03727,1.16073,0.54324,0.49058,0.47993,0.3133,1.34562,2.19414,1.20939,8.81401e-06,8.81401e-06,8.81401e-06
47,4416.07,0.99687,1.07534,1.17422,0.55329,0.4594,0.47264,0.30838,1.33957,2.16156,1.19868,8.76305e-06,8.76305e-06,8.76305e-06
48,4509.71,0.97807,1.07875,1.18075,0.48612,0.51031,0.47534,0.31044,1.32239,2.16381,1.19382,8.71117e-06,8.71117e-06,8.71117e-06
49,4603.37,0.97213,1.03523,1.16452,0.58737,0.44769,0.48864,0.32239,1.29288,2.12812,1.17687,8.65839e-06,8.65839e-06,8.65839e-06
50,4697.12,0.97626,1.08439,1.18938,0.46119,0.51925,0.47703,0.31709,1.30985,2.13701,1.1743,8.60473e-06,8.60473e-06,8.60473e-06
51,4790.81,0.97821,1.05686,1.16996,0.54243,0.47254,0.48504,0.31777,1.31717,2.14072,1.18318,8.55018e-06,8.55018e-06,8.55018e-06
52,4884.5,0.95729,1.02377,1.15252,0.61119,0.4244,0.47352,0.30374,1.362,2.12717,1.20929,8.49477e-06,8.49477e-06,8.49477e-06
53,4978.35,0.98299,1.03771,1.16548,0.54685,0.45117,0.47716,0.31575,1.30015,2.10177,1.1691,8.43851e-06,8.43851e-06,8.43851e-06
54,5072.16,0.96822,1.01677,1.14991,0.5825,0.4593,0.486,0.31874,1.33341,2.10647,1.17761,8.38141e-06,8.38141e-06,8.38141e-06
55,5165.77,0.96215,1.01506,1.16392,0.58936,0.45681,0.48716,0.31363,1.36625,2.15721,1.19044,8.32349e-06,8.32349e-06,8.32349e-06
56,5259.39,0.95282,1.00472,1.15766,0.57823,0.4798,0.49678,0.33018,1.33478,2.16422,1.18597,8.26477e-06,8.26477e-06,8.26477e-06
57,5353.26,0.95691,1.04937,1.16544,0.57917,0.46544,0.4781,0.31648,1.33895,2.11634,1.19067,8.20525e-06,8.20525e-06,8.20525e-06
58,5447,0.92525,0.94462,1.12569,0.51437,0.51205,0.47841,0.32285,1.29656,2.10775,1.17456,8.14495e-06,8.14495e-06,8.14495e-06
59,5540.34,0.93061,0.97345,1.15086,0.543,0.47976,0.47515,0.31117,1.2906,2.1434,1.1745,8.08389e-06,8.08389e-06,8.08389e-06
60,5634,0.92353,0.92763,1.13804,0.54871,0.4784,0.46911,0.30265,1.31766,2.1388,1.18888,8.02208e-06,8.02208e-06,8.02208e-06
61,5727.79,0.95401,1.00132,1.1422,0.60485,0.43238,0.46396,0.30179,1.31489,2.11832,1.18826,7.95954e-06,7.95954e-06,7.95954e-06
62,5821.56,0.92784,0.94349,1.11705,0.57096,0.44621,0.48003,0.31259,1.35254,2.09198,1.2068,7.89628e-06,7.89628e-06,7.89628e-06
63,5915.3,0.9404,0.99261,1.14009,0.51593,0.51218,0.47902,0.31901,1.30157,2.1192,1.17884,7.83231e-06,7.83231e-06,7.83231e-06
64,6008.78,0.91985,0.98321,1.12754,0.53643,0.48051,0.47565,0.31094,1.3218,2.11051,1.17756,7.76766e-06,7.76766e-06,7.76766e-06
65,6102.35,0.92724,0.95158,1.12333,0.45917,0.52761,0.48089,0.31827,1.31306,2.10031,1.17518,7.70234e-06,7.70234e-06,7.70234e-06
66,6196.01,0.95605,0.9696,1.13994,0.57396,0.47944,0.49092,0.32291,1.31349,2.10216,1.17486,7.63637e-06,7.63637e-06,7.63637e-06
67,6289.77,0.91599,0.95346,1.1345,0.54161,0.49958,0.48214,0.31441,1.32286,2.11166,1.18243,7.56976e-06,7.56976e-06,7.56976e-06
68,6383.28,0.92506,0.95887,1.11684,0.53613,0.49855,0.4904,0.32444,1.30897,2.07838,1.17632,7.50252e-06,7.50252e-06,7.50252e-06
69,6476.96,0.90276,0.92676,1.12149,0.5149,0.51594,0.48487,0.32363,1.3052,2.02354,1.17634,7.43468e-06,7.43468e-06,7.43468e-06
70,6570.7,0.91117,0.96024,1.11477,0.51364,0.53022,0.48018,0.3154,1.3246,2.05654,1.18802,7.36625e-06,7.36625e-06,7.36625e-06
71,6664.38,0.90559,0.91466,1.11939,0.54239,0.48935,0.47317,0.31296,1.30655,2.08901,1.16796,7.29725e-06,7.29725e-06,7.29725e-06
72,6758.24,0.95217,0.97935,1.1415,0.61012,0.42052,0.47823,0.31068,1.33646,2.12539,1.19542,7.2277e-06,7.2277e-06,7.2277e-06
73,6851.87,0.93741,0.94084,1.15032,0.48097,0.521,0.48695,0.31193,1.36699,2.14383,1.19972,7.15761e-06,7.15761e-06,7.15761e-06
74,6945.39,0.92132,0.93921,1.14233,0.50688,0.49706,0.47683,0.31199,1.35151,2.14341,1.1895,7.087e-06,7.087e-06,7.087e-06
75,7039.13,0.91485,0.96781,1.13261,0.51419,0.50988,0.49251,0.32317,1.32751,2.10078,1.18144,7.01588e-06,7.01588e-06,7.01588e-06
76,7133.01,0.91404,0.94937,1.1187,0.58446,0.464,0.48054,0.31878,1.32096,2.09809,1.18303,6.94428e-06,6.94428e-06,6.94428e-06
77,7226.61,0.91351,0.91482,1.10914,0.59539,0.45537,0.47229,0.30385,1.34155,2.14198,1.1861,6.87222e-06,6.87222e-06,6.87222e-06
78,7320.37,0.91313,0.93766,1.11798,0.54004,0.51336,0.48407,0.32077,1.30191,2.12008,1.17199,6.7997e-06,6.7997e-06,6.7997e-06
79,7414.3,0.90504,0.894,1.09876,0.53776,0.49283,0.48618,0.31704,1.329,2.10976,1.18984,6.72675e-06,6.72675e-06,6.72675e-06
80,7507.72,0.90317,0.90659,1.11445,0.53037,0.50273,0.48143,0.31426,1.33533,2.12752,1.19824,6.65339e-06,6.65339e-06,6.65339e-06
81,7601.39,0.89081,0.90163,1.12178,0.52199,0.50949,0.48846,0.32961,1.28368,2.09351,1.17838,6.57963e-06,6.57963e-06,6.57963e-06
82,7694.87,0.93614,0.95475,1.14296,0.54372,0.51015,0.48473,0.32356,1.30758,2.15712,1.17567,6.5055e-06,6.5055e-06,6.5055e-06
83,7788.61,0.90734,0.90303,1.10834,0.52796,0.49848,0.4768,0.31429,1.31403,2.11871,1.18207,6.43101e-06,6.43101e-06,6.43101e-06
84,7882.12,0.87962,0.88939,1.11178,0.54185,0.52016,0.49446,0.32971,1.30753,2.1242,1.17735,6.35617e-06,6.35617e-06,6.35617e-06
85,7975.76,0.89748,0.91407,1.13294,0.58502,0.47136,0.49381,0.33009,1.30976,2.14629,1.18352,6.28101e-06,6.28101e-06,6.28101e-06
86,8069.32,0.92166,0.94812,1.13108,0.60932,0.44711,0.48632,0.32348,1.31321,2.12158,1.18235,6.20555e-06,6.20555e-06,6.20555e-06
