epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,151.898,1.03846,1.03612,1.1933,0.54189,0.31304,0.33766,0.20586,1.60803,2.57624,1.4105,0.0672459,3.27869e-05,3.27869e-05
2,231.491,0.99876,0.95067,1.17845,0.49072,0.45702,0.41877,0.25091,1.52033,2.15223,1.32117,0.0339459,6.61162e-05,6.61162e-05
3,310.811,1.0268,0.96914,1.18843,0.52085,0.41373,0.42611,0.26593,1.61636,2.43053,1.38194,0.000645877,9.94293e-05,9.94293e-05
4,390.18,0.96807,0.85139,1.14139,0.46929,0.47076,0.42246,0.26476,1.60873,2.28781,1.43194,9.9945e-05,9.9945e-05,9.9945e-05
5,469.367,1.00059,0.89937,1.16367,0.5859,0.40203,0.42957,0.25276,1.70311,2.38824,1.52108,9.99023e-05,9.99023e-05,9.99023e-05
6,548.696,0.99376,0.93097,1.16766,0.53342,0.42973,0.442,0.27437,1.58812,2.16868,1.41694,9.98474e-05,9.98474e-05,9.98474e-05
7,628.054,0.9861,0.94311,1.16873,0.55937,0.42331,0.44364,0.29066,1.4785,2.18105,1.35339,9.97803e-05,9.97803e-05,9.97803e-05
8,707.705,0.98316,0.87103,1.16027,0.54816,0.43081,0.45286,0.27624,1.60062,2.18832,1.40552,9.97011e-05,9.97011e-05,9.97011e-05
9,786.949,0.97814,0.89002,1.1572,0.50372,0.40943,0.41262,0.25203,1.57444,2.20267,1.41969,9.96097e-05,9.96097e-05,9.96097e-05
10,866.046,0.9885,0.90027,1.17491,0.56441,0.42174,0.43426,0.26888,1.56381,2.25792,1.41876,9.95062e-05,9.95062e-05,9.95062e-05
11,945.364,0.97728,0.89202,1.15478,0.46382,0.45874,0.41859,0.26441,1.56478,2.30041,1.39266,9.93906e-05,9.93906e-05,9.93906e-05
12,1024.59,0.97227,0.85287,1.15689,0.46707,0.42303,0.40418,0.25614,1.61498,2.14963,1.46352,9.92629e-05,9.92629e-05,9.92629e-05
13,1103.77,0.96333,0.86406,1.14457,0.47151,0.46247,0.4193,0.25425,1.58869,2.0908,1.3585,9.91232e-05,9.91232e-05,9.91232e-05
14,1182.99,0.97442,0.89529,1.16548,0.47161,0.44988,0.40402,0.24174,1.64131,2.32977,1.41392,9.89715e-05,9.89715e-05,9.89715e-05
15,1262.29,0.95157,0.85862,1.15822,0.50591,0.49194,0.436,0.2548,1.64852,2.29004,1.4509,9.88079e-05,9.88079e-05,9.88079e-05
16,1341.51,0.94242,0.83387,1.15011,0.5059,0.43935,0.41336,0.24029,1.62817,2.23044,1.36802,9.86323e-05,9.86323e-05,9.86323e-05
17,1420.54,0.9337,0.81834,1.13223,0.52274,0.3987,0.40384,0.24839,1.63022,2.43361,1.42907,9.84449e-05,9.84449e-05,9.84449e-05
