epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,1239.01,1.24444,1.28519,1.2931,0.58616,0.51339,0.53359,0.3771,1.33727,1.67298,1.29052,9.14405e-06,9.14405e-06,9.14405e-06
40,1270.55,1.1962,1.19248,1.26071,0.55467,0.49943,0.52713,0.37228,1.35008,1.72822,1.31553,9.09984e-06,9.09984e-06,9.09984e-06
41,1302.18,1.19007,1.20162,1.27394,0.61741,0.50495,0.54427,0.38412,1.34323,1.69948,1.30797,9.05463e-06,9.05463e-06,9.05463e-06
42,1333.77,1.18027,1.23451,1.25411,0.70598,0.46142,0.54178,0.3717,1.35523,1.69945,1.31755,9.00844e-06,9.00844e-06,9.00844e-06
43,1364.83,1.15857,1.13788,1.24645,0.56774,0.53671,0.54606,0.37839,1.34322,1.6459,1.32243,8.96127e-06,8.96127e-06,8.96127e-06
44,1395.86,1.15017,1.13487,1.25069,0.63921,0.50815,0.56816,0.39344,1.34289,1.60674,1.30017,8.91313e-06,8.91313e-06,8.91313e-06
45,1427.74,1.14866,1.1595,1.22423,0.62402,0.5037,0.55965,0.38976,1.33986,1.63953,1.3083,8.86404e-06,8.86404e-06,8.86404e-06
46,1459.01,1.14571,1.13601,1.23868,0.66794,0.47682,0.56427,0.38286,1.35418,1.66537,1.32145,8.81401e-06,8.81401e-06,8.81401e-06
47,1490.31,1.15734,1.18243,1.2346,0.57725,0.53635,0.56011,0.37646,1.35529,1.6863,1.29892,8.76305e-06,8.76305e-06,8.76305e-06
48,1522.14,1.15626,1.15097,1.26281,0.59801,0.53984,0.55626,0.38957,1.32307,1.69189,1.26463,8.71117e-06,8.71117e-06,8.71117e-06
49,1553.22,1.14488,1.13498,1.24327,0.57068,0.57238,0.57248,0.4055,1.31921,1.70229,1.27239,8.65839e-06,8.65839e-06,8.65839e-06
50,1585.49,1.13032,1.14489,1.2517,0.66268,0.51354,0.56916,0.39691,1.32847,1.72443,1.25985,8.60473e-06,8.60473e-06,8.60473e-06
51,1616.91,1.14641,1.18122,1.25229,0.6473,0.53695,0.57666,0.40496,1.33439,1.65052,1.30171,8.55018e-06,8.55018e-06,8.55018e-06
52,1648.4,1.13554,1.10707,1.22801,0.61061,0.52943,0.55803,0.39986,1.28333,1.70255,1.27054,8.49477e-06,8.49477e-06,8.49477e-06
